SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ASHOKLEY, EQ, 07-Feb-2019, 82.55, 82.65, 88.50, 82.40, 88.15, 87.75, 86.30, 42292682, 36497.92, 130146, 7531270, 17.81
ASIANHOTNR, EQ, 07-Feb-2019, 145.50, 149.70, 149.85, 143.10, 145.00, 145.05, 145.33, 1706, 2.48, 71, 427, 25.03
ASIANPAINT, EQ, 07-Feb-2019, 1469.40, 1467.05, 1476.80, 1457.00, 1470.00, 1472.45, 1465.89, 697412, 10223.28, 34367, 308352, 44.21
ASIANTILES, EQ, 07-Feb-2019, 152.45, 151.20, 154.60, 151.20, 152.40, 153.10, 153.17, 33821, 51.80, 3407, 10046, 29.70
ASLIND, SM, 07-Feb-2019, 36.95, 36.80, 36.80, 29.60, 29.60, 29.60, 30.87, 24000, 7.41, 6, 8000, 33.33
ASPINWALL, EQ, 07-Feb-2019, 150.10, 152.35, 153.95, 151.00, 153.95, 153.95, 151.98, 421, 0.64, 8, 312, 74.11
ASSAMCO, EQ, 07-Feb-2019, 1.65, 1.50, 1.70, 1.50, 1.60, 1.60, 1.58, 199411, 3.16, 176, 158434, 79.45
ASTEC, EQ, 07-Feb-2019, 490.60, 485.70, 505.00, 484.50, 505.00, 499.50, 501.81, 6237, 31.30, 404, 3634, 58.27
ASTERDM, EQ, 07-Feb-2019, 156.10, 157.05, 157.90, 155.00, 157.00, 156.95, 156.53, 18713, 29.29, 383, 13367, 71.43
ASTRAL, EQ, 07-Feb-2019, 1171.50, 1159.85, 1189.50, 1151.15, 1159.00, 1158.70, 1168.19, 245977, 2873.47, 6097, 229457, 93.28
ASTRAMICRO, EQ, 07-Feb-2019, 75.60, 75.35, 75.85, 75.00, 75.30, 75.20, 75.26, 32745, 24.64, 306, 25163, 76.85
ASTRAZEN, EQ, 07-Feb-2019, 1608.50, 1681.75, 1865.00, 1681.75, 1791.10, 1794.70, 1802.19, 170126, 3066.00, 16528, 43660, 25.66
ASTRON, EQ, 07-Feb-2019, 106.20, 106.20, 106.95, 104.00, 105.00, 104.85, 105.54, 109070, 115.11, 1148, 65241, 59.82
ATFL, EQ, 07-Feb-2019, 573.40, 573.70, 583.95, 573.70, 580.95, 580.10, 579.76, 2365, 13.71, 165, 1353, 57.21
